"","","cofip_sub","cofip_nbr_nbr"
"265",1999,19063,27033
"266",1999,19119,27101
"267",1999,19119,27033
"268",1999,19119,46125
"269",1999,19119,46079
"270",1999,19119,46087
"271",1999,19005,55103
"272",1999,19005,55057
"273",1999,19005,55081
"274",1999,19005,55111
"275",1999,19089,27039
"276",1999,19089,27109
"277",1999,19089,27147
"278",1999,19189,27013
"279",1999,19189,27161
"280",1999,19189,27147
"281",1999,19195,27147
"282",1999,19195,27161
"283",1999,19195,27039
"284",1999,19195,27109
"285",1999,19059,27033
"286",1999,19059,27165
"287",1999,1023,28061
"288",1999,1023,28067
"289",1999,1023,28111
"290",1999,1023,28099
"291",1999,1023,28101
"292",1999,22107,28029
"293",1999,22107,28049
"294",1999,22107,28037
"295",1999,22107,28085
"296",1999,22107,28163
"297",1999,1107,28025
"298",1999,1107,28105
"299",1999,1107,28159
"300",1999,1129,28111
"301",1999,1129,28061
"302",1999,1129,28067
"303",1999,1075,28017
"304",1999,1075,28025
"305",1999,1075,28081
"306",1999,1075,28105
"307",1999,22117,28085
"308",1999,22117,28035
"309",1999,22117,28047
"310",1999,22117,28073
"311",1999,22117,28131
"312",1999,22117,28077
"313",1999,22117,28065
"314",1999,5077,28107
"315",1999,5077,28119
"316",1999,5077,28137
"317",1999,1077,28117
"318",1999,1077,47039
"319",1999,1077,47101
"320",1999,1077,47135
"321",1999,1077,47119
"322",1999,1077,47117
"323",1999,1077,47023
"324",1999,1077,47077
"325",1999,5107,28107
"326",1999,5107,28119
"327",1999,5107,28137
"328",1999,5107,28133
"329",1999,5107,28135
"330",1999,1093,28081
"331",1999,1093,28117
"332",1999,1093,28017
"333",1999,1093,28025
"334",1999,22037,28037
"335",1999,22037,28085
"336",1999,1119,28105
"337",1999,1119,28159
"338",1999,1119,28061
"339",1999,1119,28099
"340",1999,1119,28101
"341",1999,22029,28037
"342",1999,22065,28049
"343",1999,22065,28163
"344",1999,22105,28085
"345",1999,22105,28037
"346",1999,22035,28049
"347",1999,22035,28163
"348",1999,22035,28125
"349",1999,1059,28117
"350",1999,1059,28081
"351",1999,1097,28111
"352",1999,1097,28047
"353",1999,1097,28131
"354",1999,22125,28037
"355",1999,22103,22087
"356",1999,22103,28047
"357",1999,22103,28131
"358",1999,22103,28035
"359",1999,22103,28073
"360",1999,5035,28107
"361",1999,5035,28119
"362",1999,5035,28137
"363",1999,5035,47075
"364",1999,22091,28037
"365",1999,22091,28085
"366",1999,1033,28117
"367",1999,5041,28133
"368",1999,17157,29017
"369",1999,17157,29123
"370",1999,17157,29187
"371",1999,20121,29083
"372",1999,20121,29185
"373",1999,20121,29101
"374",1999,21075,29207
"375",1999,21075,47053
"376",1999,17119,29071
"377",1999,17119,29219
"378",1999,19051,29001
"379",1999,19051,29103
"380",1999,19177,29103
"381",1999,19177,29001
"382",1999,17149,29137
"383",1999,17149,29205
"384",1999,17149,29007
"385",1999,17149,29139
"386",1999,20209,29101
"387",1999,20209,29107
"388",1999,20209,29177
"389",1999,20209,29049
"390",1999,5015,29043
"391",1999,5015,29109
"392",1999,5015,29067
"393",1999,20091,29083
"394",1999,20091,29101
"395",1999,20091,29107
"396",1999,20091,29177
"397",1999,20037,29039
"398",1999,20037,29057
"399",1999,20037,29185
"400",1999,20037,29109
"401",1999,19185,29079
"402",1999,19185,29211
"403",1999,19185,29001
"404",1999,17083,29071
"405",1999,17083,29219
"406",1999,19071,31109
"407",1999,19071,31155
"408",1999,19071,31097
"409",1999,5009,29043
"410",1999,5009,29067
"411",1999,20107,29083
"412",1999,20107,29185
"413",1999,20107,29039
"414",1999,17133,29071
"415",1999,17133,29187
"416",1999,17133,29221
"417",1999,5021,29035
"418",1999,5021,29207
"419",1999,5021,29223
"420",1999,17013,29007
"421",1999,17013,29139
"422",1999,17013,29071
"423",1999,17013,29219
"424",1999,19145,29075
"425",1999,19053,29079
"426",1999,19053,29211
"427",1999,19053,29061
"428",1999,19053,29075
"429",1999,5135,29035
"430",1999,5135,29203
"431",1999,19111,29103
"432",1999,20043,29063
"433",1999,20043,29075
"434",1999,20043,29049
"435",1999,17181,29017
"436",1999,17181,29207
"437",1999,17181,29123
"438",1999,17181,29187
"439",1999,20021,29109
"440",1999,20021,29057
"441",1999,20021,40097
"442",1999,20021,40131
"443",1999,19159,29075
"444",1999,19159,29061
"445",1999,19159,29079
"446",1999,5093,29207
"447",1999,5093,47033
"448",1999,5093,47075
"449",1999,5093,47053
"450",1999,5007,29109
"451",1999,5007,40021
"452",1999,5007,40097
"453",1999,5049,29067
"454",1999,5049,29035
"455",1999,5049,29203
"456",1999,5049,29215
"457",1999,20005,29049
"458",1999,20005,29063
"459",1999,19173,29075
"460",1999,20011,29039
"461",1999,20011,29185
"462",1999,5031,29207
"463",1999,5121,29035
"464",1999,5121,29203
"465",1999,19007,29001
"466",1999,19007,29211
"467",1999,5089,29067
"468",1999,5089,29043
"469",1999,20103,29049
"470",1999,5055,29207
"471",1999,5005,29067
"472",1999,17163,29071
"473",1999,21105,47017
"474",1999,21105,47053
"475",1999,17077,29017
"476",1999,17077,29123
"477",1999,17077,29187
"478",1999,17001,29137
"479",1999,17001,29205
"480",1999,17001,29103
"481",1999,16049,30023
"482",1999,16049,30039
"483",1999,16049,30029
"484",1999,16049,30047
"485",1999,16049,30077
"486",1999,16049,41061
"487",1999,16021,30029
"488",1999,16021,53065
"489",1999,16017,30029
"490",1999,16017,30047
"491",1999,16017,53043
"492",1999,16017,53065
"493",1999,16079,30029
"494",1999,16079,30047
"495",1999,16033,30023
"496",1999,16033,30093
"497",1999,16059,30023
"498",1999,16059,30093
"499",1999,16059,30039
"500",1999,16035,30029
"501",1999,16035,30039
"502",1999,16035,30047
"503",1999,16035,30077
"504",1999,16043,30007
"505",1999,16043,30043
"506",1999,16043,30059
"507",1999,16043,30023
"508",1999,16043,30093
"509",1999,16043,56013
"510",1999,16043,56035
"511",1999,29087,31097
"512",1999,20201,31059
"513",1999,20201,31151
"514",1999,20201,31097
"515",1999,20201,31109
"516",1999,8095,31085
"517",1999,8095,31101
"518",1999,8095,31111
"519",1999,20153,31085
"520",1999,20153,31063
"521",1999,20157,31059
"522",1999,20157,31151
"523",1999,20157,31035
"524",1999,20183,31001
"525",1999,20183,31035
"526",1999,20183,31099
