"","cofip_sub","cofip_nbr_nbr","id"
"325",9013,25015,901325015
"327",9003,25015,900325015
"328",9015,25015,901525015
"329",18087,26025,1808726025
"330",18087,26077,1808726077
"333",18087,26159,1808726159
"334",18141,18127,1814118127
"335",18141,26159,1814126159
"336",18141,26077,1814126077
"338",18039,26025,1803926025
"339",18039,26077,1803926077
"340",18039,26159,1803926159
"343",18151,26025,1815126025
"344",18151,26077,1815126077
"346",18151,26075,1815126075
"347",18151,39069,1815139069
"348",18091,18127,1809118127
"349",18091,26159,1809126159
"350",19191,27109,1919127109
"351",19143,27033,1914327033
"352",19143,27165,1914327165
"354",19143,27101,1914327101
"355",19109,27013,1910927013
"356",19109,27161,1910927161
"358",19109,27165,1910927165
"359",19131,27039,1913127039
"360",19131,27109,1913127109
"361",19131,27147,1913127147
"362",19063,27013,1906327013
"363",19063,27165,1906327165
"364",19063,27033,1906327033
"366",19119,27101,1911927101
"367",19119,27033,1911927033
"369",19119,46125,1911946125
"370",19119,46079,1911946079
"371",19119,46087,1911946087
"373",19005,55103,1900555103
"374",19005,55057,1900555057
"375",19005,55081,1900555081
"377",19005,55111,1900555111
"378",19089,27039,1908927039
"379",19089,27109,1908927109
"380",19089,27147,1908927147
"382",19189,27013,1918927013
"383",19189,27161,1918927161
"384",19189,27147,1918927147
"386",19195,27147,1919527147
"387",19195,27161,1919527161
"388",19195,27039,1919527039
"389",19195,27109,1919527109
"391",19059,27033,1905927033
"392",19059,27165,1905927165
"393",1023,28061,102328061
"394",1023,28067,102328067
"395",1023,28111,102328111
"397",1023,28099,102328099
"398",1023,28101,102328101
"401",22107,28029,2210728029
"402",22107,28049,2210728049
"404",22107,28037,2210728037
"405",22107,28085,2210728085
"408",22107,28163,2210728163
"409",1107,28025,110728025
"410",1107,28105,110728105
"412",1107,28159,110728159
"413",1129,28111,112928111
"414",1129,28061,112928061
"415",1129,28067,112928067
"417",1075,28017,107528017
"418",1075,28025,107528025
"419",1075,28081,107528081
"421",1075,28105,107528105
"422",22117,28085,2211728085
"423",22117,28035,2211728035
"424",22117,28047,2211728047
"425",22117,28073,2211728073
"426",22117,28131,2211728131
"427",22117,28077,2211728077
"429",22117,28065,2211728065
"432",5077,28107,507728107
"433",5077,28119,507728119
"434",5077,28137,507728137
"435",1077,28117,107728117
"436",1077,47039,107747039
"437",1077,47101,107747101
"438",1077,47135,107747135
"440",1077,47119,107747119
"441",1077,47117,107747117
"443",1077,47023,107747023
"445",1077,47077,107747077
"446",5107,28107,510728107
"447",5107,28119,510728119
"448",5107,28137,510728137
"449",5107,28133,510728133
"452",5107,28135,510728135
"453",1093,28081,109328081
"454",1093,28117,109328117
"455",1093,28017,109328017
"456",1093,28025,109328025
"458",22037,28037,2203728037
"459",22037,28085,2203728085
"461",1119,28105,111928105
"462",1119,28159,111928159
"463",1119,28061,111928061
"464",1119,28099,111928099
"465",1119,28101,111928101
"469",22029,28037,2202928037
"471",22065,28049,2206528049
"472",22065,28163,2206528163
"475",22105,28085,2210528085
"476",22105,28037,2210528037
"478",22035,28049,2203528049
"479",22035,28163,2203528163
"480",22035,28125,2203528125
"482",1059,28117,105928117
"483",1059,28081,105928081
"485",1097,28111,109728111
"486",1097,28047,109728047
"487",1097,28131,109728131
"490",22125,28037,2212528037
"491",22103,22087,2210322087
"492",22103,28047,2210328047
"493",22103,28131,2210328131
"494",22103,28035,2210328035
"496",22103,28073,2210328073
"498",5035,28107,503528107
"499",5035,28119,503528119
"500",5035,28137,503528137
"502",5035,47075,503547075
"503",22091,28037,2209128037
"504",22091,28085,2209128085
"505",1033,28117,103328117
"506",5041,28133,504128133
"507",17157,29017,1715729017
"508",17157,29123,1715729123
"509",17157,29187,1715729187
"511",20121,29083,2012129083
"512",20121,29185,2012129185
"514",20121,29101,2012129101
"515",21075,29207,2107529207
"517",21075,47053,2107547053
"518",17119,29071,1711929071
"519",17119,29219,1711929219
"521",19051,29001,1905129001
"523",19051,29103,1905129103
"524",19177,29103,1917729103
"525",19177,29001,1917729001
"527",17149,29137,1714929137
"528",17149,29205,1714929205
"529",17149,29007,1714929007
"530",17149,29139,1714929139
"533",20209,29101,2020929101
"534",20209,29107,2020929107
"535",20209,29177,2020929177
"536",20209,29049,2020929049
"539",5015,29043,501529043
"540",5015,29109,501529109
"543",5015,29067,501529067
"544",20091,29083,2009129083
"545",20091,29101,2009129101
"547",20091,29107,2009129107
"548",20091,29177,2009129177
"549",20037,29039,2003729039
"550",20037,29057,2003729057
"552",20037,29185,2003729185
"554",20037,29109,2003729109
"555",19185,29079,1918529079
"556",19185,29211,1918529211
"557",19185,29001,1918529001
"559",17083,29071,1708329071
"560",17083,29219,1708329219
"561",19071,31109,1907131109
"562",19071,31155,1907131155
"563",19071,31097,1907131097
"565",5009,29043,500929043
"566",5009,29067,500929067
"567",20107,29083,2010729083
"568",20107,29185,2010729185
"569",20107,29039,2010729039
"571",17133,29071,1713329071
"572",17133,29187,1713329187
"573",17133,29221,1713329221
"576",5021,29035,502129035
"577",5021,29207,502129207
"578",5021,29223,502129223
"581",17013,29007,1701329007
"582",17013,29139,1701329139
"583",17013,29071,1701329071
"584",17013,29219,1701329219
"587",19145,29075,1914529075
"588",19053,29079,1905329079
"589",19053,29211,1905329211
"590",19053,29061,1905329061
"591",19053,29075,1905329075
"593",5135,29035,513529035
"594",5135,29203,513529203
"595",19111,29103,1911129103
"596",20043,29063,2004329063
"597",20043,29075,2004329075
"598",20043,29049,2004329049
"600",17181,29017,1718129017
"601",17181,29207,1718129207
"603",17181,29123,1718129123
"604",17181,29187,1718129187
"605",20021,29109,2002129109
"606",20021,29057,2002129057
"608",20021,40097,2002140097
"609",20021,40131,2002140131
"610",19159,29075,1915929075
"611",19159,29061,1915929061
"613",19159,29079,1915929079
"614",5093,29207,509329207
"615",5093,47033,509347033
"616",5093,47075,509347075
"618",5093,47053,509347053
"620",5007,29109,500729109
"621",5007,40021,500740021
"623",5007,40097,500740097
"624",5049,29067,504929067
"625",5049,29035,504929035
"626",5049,29203,504929203
"629",5049,29215,504929215
"630",20005,29049,2000529049
"631",20005,29063,2000529063
"633",19173,29075,1917329075
"635",20011,29039,2001129039
"636",20011,29185,2001129185
"637",5031,29207,503129207
"638",5121,29035,512129035
"639",5121,29203,512129203
"641",19007,29001,1900729001
"642",19007,29211,1900729211
"644",5089,29067,508929067
"645",5089,29043,508929043
"647",20103,29049,2010329049
"648",5055,29207,505529207
"649",5005,29067,500529067
"650",17163,29071,1716329071
"651",21105,47017,2110547017
"652",21105,47053,2110547053
"654",17077,29017,1707729017
"655",17077,29123,1707729123
"656",17077,29187,1707729187
"657",17001,29137,1700129137
"658",17001,29205,1700129205
"659",17001,29103,1700129103
"661",16049,30023,1604930023
"662",16049,30039,1604930039
"663",16049,30029,1604930029
"665",16049,30047,1604930047
"666",16049,30077,1604930077
"667",16049,41061,1604941061
"668",16021,30029,1602130029
"669",16021,53065,1602153065
"670",16017,30029,1601730029
"672",16017,30047,1601730047
"673",16017,53043,1601753043
"674",16017,53065,1601753065
"676",16079,30029,1607930029
"677",16079,30047,1607930047
"678",16033,30023,1603330023
"679",16033,30093,1603330093
"680",16059,30023,1605930023
"681",16059,30093,1605930093
"683",16059,30039,1605930039
"684",16035,30029,1603530029
"685",16035,30039,1603530039
"686",16035,30047,1603530047
"687",16035,30077,1603530077
"688",16043,30007,1604330007
"689",16043,30043,1604330043
"690",16043,30059,1604330059
"691",16043,30023,1604330023
"692",16043,30093,1604330093
"695",16043,56013,1604356013
"696",16043,56035,1604356035
"697",29087,31097,2908731097
"698",20201,31059,2020131059
"699",20201,31151,2020131151
"702",20201,31097,2020131097
"703",20201,31109,2020131109
"705",8095,31085,809531085
"707",8095,31101,809531101
"708",8095,31111,809531111
"709",20153,31085,2015331085
"710",20153,31063,2015331063
"713",20157,31059,2015731059
"714",20157,31151,2015731151
"715",20157,31035,2015731035
"719",20183,31001,2018331001
"720",20183,31035,2018331035
"721",20183,31099,2018331099
"723",20183,31137,2018331137
"724",19085,31053,1908531053
"725",19085,31039,1908531039
"727",20117,31097,2011731097
"729",20117,31109,2011731109
"730",20117,31151,2011731151
"731",20039,31063,2003931063
"733",20039,31073,2003931073
"734",20039,31137,2003931137
"735",20131,31097,2013131097
"736",20147,31099,2014731099
"737",20147,31137,2014731137
"740",19193,31039,1919331039
"741",19193,31179,1919331179
"742",8075,31069,807531069
"743",8075,31123,807531123
"744",29005,31097,2900531097
"745",29005,31109,2900531109
"747",20089,31001,2008931001
"748",20089,31035,2008931035
"749",20089,31099,2008931099
"751",20089,31059,2008931059
"752",8115,31069,811531069
"753",8115,31123,811531123
"754",8115,31085,811531085
"755",8115,31101,811531101
"756",8115,31111,811531111
