FIPS Code,Rural-urban_continuum,urban_influence,mean_temp_jan,mean_sunlight_jan,mean_sunlight_july,mean_humidity_july,top_code,pct_water,ln_pct_water,jan_tmp_z,jan_sun_z,jul_temp_z,jul_hum_z,top_z,pct_water_z,amen_scale
06023,5 ,7 ,47.3 ,168 ,56.3 ,60 ,21 ,11.84 ,7.076 ,1.19450 ,0.49656 ,6.50064 ,-0.27427 ,1.83868 ,1.39483,11.15 
06025,4 ,3 ,53.9 ,258 ,92.0 ,18 ,11 ,6.85 ,6.529 ,1.74049 ,3.20637 ,-2.52989 ,2.60092 ,0.32201 ,1.10527,6.45 
06027,7 ,8 ,37.1 ,258 ,76.6 ,18 ,17 ,0.35 ,3.552 ,0.35070 ,3.20637 ,0.16386 ,2.60092 ,1.23201 ,-0.47077,7.08 
06029,2 ,2 ,47.5 ,185 ,83.9 ,22 ,21 ,0.25 ,3.220 ,1.21104 ,1.00842 ,-0.90320 ,2.32709 ,1.83868 ,-0.6465,4.84 
06031,4 ,5 ,45.0 ,185 ,79.6 ,22 ,9 ,0.15 ,2.714 ,1.00423 ,1.00842 ,0.03765 ,2.32709 ,0.01867 ,-0.91435,3.48 
06033,6 ,3 ,42.3 ,137 ,73.4 ,28 ,21 ,5.35 ,6.282 ,0.78087 ,-0.43682 ,1.47215 ,1.91635 ,1.83868 ,0.97433,6.55 
06035,6 ,6 ,29.9 ,200 ,69.2 ,19 ,11 ,3.46 ,5.845 ,-0.24493 ,1.46005 ,1.53342 ,2.53247 ,0.32201 ,0.74304,6.35 
06037,0 ,1 ,54.5 ,224 ,68.5 ,68 ,21 ,14.57 ,7.284 ,1.79012 ,2.18267 ,3.84046 ,-0.82193 ,1.83868 ,1.50471,10.33 
06039,2 ,2 ,45.3 ,185 ,80.2 ,22 ,21 ,0.69 ,4.241 ,1.02905 ,1.00842 ,-0.09784 ,2.32709 ,1.83868 ,-0.10614,6.00 
06041,0 ,1 ,46.9 ,168 ,66.7 ,60 ,16 ,37.24 ,8.223 ,1.16141 ,0.49656 ,3.66985 ,-0.27427 ,1.08035 ,2.00152,8.14 
06043,8 ,6 ,36.7 ,185 ,66.7 ,22 ,21 ,0.80 ,4.380 ,0.31761 ,1.00842 ,2.79131 ,2.32709 ,1.83868 ,-0.03249,8.25 
06045,4 ,3 ,47.9 ,168 ,56.5 ,60 ,20 ,9.52 ,6.859 ,1.24413 ,0.49656 ,6.49855 ,-0.27427 ,1.68702 ,1.27947,10.93 
06047,3 ,2 ,45.1 ,185 ,78.3 ,22 ,4 ,2.19 ,5.388 ,1.01250 ,1.00842 ,0.39581 ,2.32709 ,-0.73966 ,0.50092,4.51 
06049,7 ,8 ,28.6 ,137 ,65.8 ,28 ,12 ,6.17 ,6.424 ,-0.35247 ,-0.43682 ,2.33564 ,1.91635 ,0.47368 ,1.0497,4.99 
06051,7 ,8 ,32.8 ,200 ,69.3 ,19 ,21 ,2.79 ,5.632 ,-0.00502 ,1.46005 ,1.75632 ,2.53247 ,1.83868 ,0.62998,8.21 
06053,2 ,2 ,50.0 ,171 ,61.9 ,74 ,21 ,11.91 ,7.083 ,1.41786 ,0.58689 ,5.22747 ,-1.23267 ,1.83868 ,1.39808,9.24 
06055,0 ,1 ,47.4 ,168 ,67.3 ,60 ,20 ,4.37 ,6.081 ,1.20277 ,0.49656 ,3.55158 ,-0.27427 ,1.68702 ,0.86778,7.53 
06057,4 ,4 ,34.3 ,137 ,63.5 ,28 ,21 ,1.73 ,5.155 ,0.11907 ,-0.43682 ,3.44501 ,1.91635 ,1.83868 ,0.37746,7.26 
06059,0 ,1 ,54.2 ,224 ,71.7 ,68 ,16 ,16.69 ,7.420 ,1.76531 ,2.18267 ,2.95420 ,-0.82193 ,1.08035 ,1.57675,8.74 
06061,1 ,1 ,44.9 ,137 ,77.4 ,28 ,21 ,6.39 ,6.460 ,0.99596 ,-0.43682 ,0.62057 ,1.91635 ,1.83868 ,1.06826,6.00 
06063,6 ,6 ,33.7 ,137 ,66.3 ,28 ,21 ,2.29 ,5.433 ,0.06943 ,-0.43682 ,2.64047 ,1.91635 ,1.83868 ,0.52469,6.55 
06065,0 ,1 ,52.1 ,224 ,76.0 ,68 ,21 ,1.31 ,4.875 ,1.59158 ,2.18267 ,1.61715 ,-0.82193 ,1.83868 ,0.2295,6.64 
06067,0 ,1 ,45.1 ,137 ,75.2 ,28 ,4 ,3.01 ,5.707 ,1.01250 ,-0.43682 ,1.22934 ,1.91635 ,-0.73966 ,0.66982,3.65 
06069,6 ,3 ,48.7 ,171 ,66.5 ,74 ,20 ,0.12 ,2.491 ,1.31031 ,0.58689 ,3.87866 ,-1.23267 ,1.68702 ,-1.03218,5.20 
06071,0 ,1 ,52.0 ,224 ,78.2 ,68 ,11 ,0.22 ,3.100 ,1.58331 ,2.18267 ,1.01700 ,-0.82193 ,0.32201 ,-0.71033,3.57 
06073,0 ,1 ,55.2 ,224 ,69.6 ,68 ,21 ,7.10 ,6.566 ,1.84803 ,2.18267 ,3.60498 ,-0.82193 ,1.83868 ,1.1244,9.78 
06075,0 ,1 ,50.9 ,171 ,58.5 ,74 ,16 ,75.00 ,8.923 ,1.49231 ,0.58689 ,6.21918 ,-1.23267 ,1.08035 ,2.37209,10.52 
06077,2 ,2 ,44.6 ,185 ,76.7 ,22 ,4 ,1.89 ,5.241 ,0.97114 ,1.00842 ,0.78295 ,2.32709 ,-0.73966 ,0.42308,4.77 
06079,3 ,2 ,51.9 ,171 ,64.7 ,74 ,16 ,8.61 ,6.758 ,1.57504 ,0.58689 ,4.63826 ,-1.23267 ,1.08035 ,1.22616,7.87 
06081,0 ,1 ,49.5 ,171 ,65.0 ,74 ,16 ,39.40 ,8.279 ,1.37650 ,0.58689 ,4.35088 ,-1.23267 ,1.08035 ,2.03131,8.19 
06083,2 ,2 ,53.2 ,224 ,66.6 ,68 ,21 ,27.74 ,7.928 ,1.68258 ,2.18267 ,4.23936 ,-0.82193 ,1.83868 ,1.84554,10.97 
06085,0 ,1 ,49.5 ,171 ,68.4 ,74 ,20 ,1.02 ,4.625 ,1.37650 ,0.58689 ,3.43669 ,-1.23267 ,1.68702 ,0.09731,5.95 
06087,0 ,1 ,48.8 ,171 ,62.7 ,74 ,16 ,26.65 ,7.888 ,1.31859 ,0.58689 ,4.90901 ,-1.23267 ,1.08035 ,1.8243,8.49 
06089,3 ,2 ,33.7 ,137 ,68.8 ,28 ,21 ,1.61 ,5.081 ,0.06943 ,-0.43682 ,1.96827 ,1.91635 ,1.83868 ,0.33879,5.69 
06091,8 ,6 ,29.1 ,137 ,64.0 ,28 ,21 ,0.89 ,4.492 ,-0.31111 ,-0.43682 ,2.86269 ,1.91635 ,1.83868 ,0.02671,5.90 
06093,7 ,8 ,33.9 ,168 ,71.9 ,60 ,21 ,0.95 ,4.558 ,0.08598 ,0.49656 ,1.15197 ,-0.27427 ,1.83868 ,0.06176,3.36 
06095,0 ,1 ,45.0 ,137 ,75.7 ,28 ,16 ,8.68 ,6.766 ,1.00423 ,-0.43682 ,1.08628 ,1.91635 ,1.08035 ,1.23036,5.88 
06097,0 ,1 ,46.1 ,168 ,66.8 ,60 ,20 ,10.87 ,6.991 ,1.09523 ,0.49656 ,3.57405 ,-0.27427 ,1.68702 ,1.34946,7.93 
06099,2 ,2 ,45.1 ,185 ,76.3 ,22 ,20 ,1.34 ,4.895 ,1.01250 ,1.00842 ,0.93357 ,2.32709 ,1.68702 ,0.24007,7.21 
06101,3 ,2 ,45.5 ,137 ,78.8 ,28 ,1 ,1.01 ,4.617 ,1.04559 ,-0.43682 ,0.29582 ,1.91635 ,-1.19466 ,0.09285,1.72 
06103,6 ,5 ,45.2 ,137 ,82.3 ,28 ,21 ,0.38 ,3.638 ,1.02078 ,-0.43682 ,-0.67110 ,1.91635 ,1.83868 ,-0.42535,3.24 
06105,6 ,6 ,36.5 ,168 ,70.8 ,60 ,21 ,0.90 ,4.502 ,0.30106 ,0.49656 ,1.67168 ,-0.27427 ,1.83868 ,0.032,4.07 
06107,2 ,2 ,45.6 ,185 ,80.1 ,22 ,21 ,0.31 ,3.439 ,1.05387 ,1.00842 ,-0.04511 ,2.32709 ,1.83868 ,-0.53054,5.65 
06109,6 ,6 ,43.9 ,185 ,77.0 ,22 ,21 ,1.71 ,5.141 ,0.91323 ,1.00842 ,0.64200 ,2.32709 ,1.83868 ,0.37033,7.10 
06111,0 ,1 ,53.8 ,224 ,65.2 ,68 ,21 ,16.41 ,7.403 ,1.73222 ,2.18267 ,4.66747 ,-0.82193 ,1.83868 ,1.56774,11.17 
06113,0 ,1 ,45.4 ,137 ,76.9 ,28 ,20 ,1.02 ,4.625 ,1.03732 ,-0.43682 ,0.79808 ,1.91635 ,1.68702 ,0.09699,5.10 
06115,3 ,2 ,45.5 ,137 ,78.8 ,28 ,20 ,2.04 ,5.316 ,1.04559 ,-0.43682 ,0.29582 ,1.91635 ,1.68702 ,0.46292,4.97 
08001,0 ,1 ,29.9 ,214 ,73.0 ,36 ,4 ,0.49 ,3.882 ,-0.24493 ,1.88158 ,0.51168 ,1.36870 ,-0.73966 ,-0.29631,2.48 
08003,7 ,8 ,17.2 ,223 ,65.0 ,37 ,2 ,0.11 ,2.378 ,-1.29554 ,2.15256 ,1.56886 ,1.30024 ,-1.04300 ,-1.09244,1.59 
08005,0 ,1 ,29.9 ,214 ,73.0 ,36 ,5 ,0.29 ,3.352 ,-0.24493 ,1.88158 ,0.51168 ,1.36870 ,-0.58800 ,-0.57677,2.35 
08007,9 ,9 ,19.8 ,180 ,64.3 ,21 ,21 ,0.39 ,3.659 ,-1.08046 ,0.85787 ,1.98101 ,2.39555 ,1.83868 ,-0.41408,5.58 
08009,9 ,9 ,29.3 ,223 ,78.1 ,35 ,6 ,0.05 ,1.678 ,-0.29456 ,2.15256 ,-0.91128 ,1.43715 ,-0.43633 ,-1.46255,0.48 
08011,9 ,9 ,30.0 ,223 ,78.1 ,35 ,6 ,1.77 ,5.174 ,-0.23665 ,2.15256 ,-0.85099 ,1.43715 ,-0.43633 ,0.38775,2.45 
08013,0 ,1 ,33.0 ,214 ,73.9 ,36 ,21 ,1.19 ,4.779 ,0.01152 ,1.88158 ,0.53670 ,1.36870 ,1.83868 ,0.17866,5.82 
08015,7 ,8 ,28.5 ,223 ,65.9 ,35 ,21 ,0.15 ,2.726 ,-0.36074 ,2.15256 ,2.30014 ,1.43715 ,1.83868 ,-0.90811,6.46 
08017,9 ,9 ,27.9 ,223 ,75.3 ,35 ,5 ,0.00 ,0.000 ,-0.41038 ,2.15256 ,-0.27900 ,1.43715 ,-0.58800 ,-2.35103,-0.04 
08019,8 ,4 ,26.8 ,214 ,62.7 ,36 ,21 ,0.25 ,3.238 ,-0.50138 ,1.88158 ,3.01413 ,1.36870 ,1.83868 ,-0.63719,6.96 
08021,9 ,9 ,17.2 ,223 ,65.0 ,37 ,21 ,0.28 ,3.342 ,-1.29554 ,2.15256 ,1.56886 ,1.30024 ,1.83868 ,-0.58202,4.98 
08023,9 ,9 ,17.2 ,223 ,65.0 ,37 ,21 ,0.27 ,3.301 ,-1.29554 ,2.15256 ,1.56886 ,1.30024 ,1.83868 ,-0.60363,4.96 
08025,8 ,6 ,29.9 ,223 ,76.5 ,35 ,5 ,1.42 ,4.954 ,-0.24493 ,2.15256 ,-0.42940 ,1.43715 ,-0.58800 ,0.27111,2.60 
08027,8 ,6 ,22.6 ,223 ,62.9 ,35 ,17 ,0.14 ,2.624 ,-0.84882 ,2.15256 ,2.59861 ,1.43715 ,1.23201 ,-0.96227,5.61 
08029,7 ,8 ,26.4 ,180 ,74.1 ,21 ,17 ,0.56 ,4.020 ,-0.53447 ,0.85787 ,-0.08554 ,2.39555 ,1.23201 ,-0.2229,3.64 
