"","V1","V2","V3","V4"
"1",1990,1001,1,33996
"2",1991,1001,1,34356
"3",1992,1001,1,35018
"4",1993,1001,1,36002
"5",1994,1001,1,36976
"6",1995,1001,1,38218
"7",1996,1001,1,39154
"8",1997,1001,1,40251
"9",1998,1001,1,41293
"10",1999,1001,1,42193
"11",2000,1001,1,43140
"12",2001,1001,1,43872
"13",2002,1001,1,44434
"14",2003,1001,1,45157
"15",2004,1001,1,45762
"16",2005,1001,1,46933
"17",2006,1001,1,47870
"18",2007,1001,1,49105
"19",2008,1001,1,49834
"20",2009,1001,1,50354
"21",2010,1001,1,50756
"22",2011,1001,1,54684
"23",2012,1001,1,55275
"24",2013,1001,1,55192
"25",2014,1001,1,55136
"26",1990,1003,1,96198
"27",1991,1003,1,98921
"28",1992,1003,1,102229
"29",1993,1003,1,106228
"30",1994,1003,1,110873
"31",1995,1003,1,115834
"32",1996,1003,1,119962
"33",1997,1003,1,124261
"34",1998,1003,1,128770
"35",1999,1003,1,132857
"36",2000,1003,1,135820
"37",2001,1003,1,141358
"38",2002,1003,1,144988
"39",2003,1003,1,148141
"40",2004,1003,1,151707
"41",2005,1003,1,156573
"42",2006,1003,1,162564
"43",2007,1003,1,168516
"44",2008,1003,1,172815
"45",2009,1003,1,176212
"46",2010,1003,1,179878
"47",2011,1003,1,183216
"48",2012,1003,1,186694
"49",2013,1003,1,190561
"50",2014,1003,1,195443
"51",1990,1005,1,25336
"52",1991,1005,1,25452
"53",1992,1005,1,26227
"54",1993,1005,1,26435
"55",1994,1005,1,26637
"56",1995,1005,1,26788
"57",1996,1005,1,26665
"58",1997,1005,1,26866
"59",1998,1005,1,26747
"60",1999,1005,1,26936
"61",2000,1005,1,26726
"62",2001,1005,1,29035
"63",2002,1005,1,29223
"64",2003,1005,1,29289
"65",2004,1005,1,29480
"66",2005,1005,1,29458
"67",2006,1005,1,29452
"68",2007,1005,1,29556
"69",2008,1005,1,29736
"70",2009,1005,1,29836
"71",2010,1005,1,29737
"72",2011,1005,1,27336
"73",2012,1005,1,27225
"74",2013,1005,1,27169
"75",2014,1005,1,26978
"76",1990,1007,1,16360
"77",1991,1007,1,16675
"78",1992,1007,1,16956
"79",1993,1007,1,17191
"80",1994,1007,1,17447
"81",1995,1007,1,17643
"82",1996,1007,1,17988
"83",1997,1007,1,18256
"84",1998,1007,1,18639
"85",1999,1007,1,18987
"86",2000,1007,1,19601
"87",2001,1007,1,19936
"88",2002,1007,1,20942
"89",2003,1007,1,20983
"90",2004,1007,1,21037
"91",2005,1007,1,21208
"92",2006,1007,1,21375
"93",2007,1007,1,21285
"94",2008,1007,1,21485
"95",2009,1007,1,21589
"96",2010,1007,1,21587
"97",2011,1007,1,22879
"98",2012,1007,1,22740
"99",2013,1007,1,22634
"100",2014,1007,1,22504
"101",1990,1009,1,38771
"102",1991,1009,1,39410
"103",1992,1009,1,39868
"104",1993,1009,1,40230
"105",1994,1009,1,40992
"106",1995,1009,1,41363
"107",1996,1009,1,42586
"108",1997,1009,1,43544
"109",1998,1009,1,44897
"110",1999,1009,1,46292
"111",2000,1009,1,47411
"112",2001,1009,1,51181
"113",2002,1009,1,51999
"114",2003,1009,1,52775
"115",2004,1009,1,53726
"116",2005,1009,1,54469
"117",2006,1009,1,55035
"118",2007,1009,1,55978
"119",2008,1009,1,56866
"120",2009,1009,1,57794
"121",2010,1009,1,58345
"122",2011,1009,1,57344
"123",2012,1009,1,57694
"124",2013,1009,1,57748
"125",2014,1009,1,57720
"126",1990,1011,1,11170
"127",1991,1011,1,11022
"128",1992,1011,1,11139
"129",1993,1011,1,11032
"130",1994,1011,1,11085
"131",1995,1011,1,11191
"132",1996,1011,1,11209
"133",1997,1011,1,11307
"134",1998,1011,1,11310
"135",1999,1011,1,11325
"136",2000,1011,1,11343
"137",2001,1011,1,11604
"138",2002,1011,1,11381
"139",2003,1011,1,11261
"140",2004,1011,1,11305
"141",2005,1011,1,11038
"142",2006,1011,1,10975
"143",2007,1011,1,10739
"144",2008,1011,1,10966
"145",2009,1011,1,10921
"146",2010,1011,1,10985
"147",2011,1011,1,10886
"148",2012,1011,1,10623
"149",2013,1011,1,10589
"150",2014,1011,1,10605
"151",1990,1013,1,22035
"152",1991,1013,1,21884
"153",1992,1013,1,21742
"154",1993,1013,1,21772
"155",1994,1013,1,21781
"156",1995,1013,1,21811
"157",1996,1013,1,21773
"158",1997,1013,1,21801
"159",1998,1013,1,21769
"160",1999,1013,1,21658
"161",2000,1013,1,21522
"162",2001,1013,1,21313
"163",2002,1013,1,21036
"164",2003,1013,1,20607
"165",2004,1013,1,20536
"166",2005,1013,1,20476
"167",2006,1013,1,20338
"168",2007,1013,1,20231
"169",2008,1013,1,20243
"170",2009,1013,1,20171
"171",2010,1013,1,19964
"172",2011,1013,1,20945
"173",2012,1013,1,20676
"174",2013,1013,1,20409
"175",2014,1013,1,20289
"176",1990,1015,1,116381
"177",1991,1015,1,116115
"178",1992,1015,1,115218
"179",1993,1015,1,115749
"180",1994,1015,1,116250
"181",1995,1015,1,116078
"182",1996,1015,1,116687
"183",1997,1015,1,116577
"184",1998,1015,1,117132
"185",1999,1015,1,117083
"186",2000,1015,1,116541
"187",2001,1015,1,111342
"188",2002,1015,1,111019
"189",2003,1015,1,110860
"190",2004,1015,1,111378
"191",2005,1015,1,111615
"192",2006,1015,1,112081
"193",2007,1015,1,112453
"194",2008,1015,1,112808
"195",2009,1015,1,113422
"196",2010,1015,1,114081
"197",2011,1015,1,118443
"198",2012,1015,1,117760
"199",2013,1015,1,117264
"200",2014,1015,1,116547
"201",1990,1017,1,37208
"202",1991,1017,1,36882
"203",1992,1017,1,36902
"204",1993,1017,1,37025
"205",1994,1017,1,36997
"206",1995,1017,1,37032
"207",1996,1017,1,37133
"208",1997,1017,1,36857
"209",1998,1017,1,36640
"210",1999,1017,1,36706
"211",2000,1017,1,36369
"212",2001,1017,1,36593
"213",2002,1017,1,36281
"214",2003,1017,1,35952
"215",2004,1017,1,35626
"216",2005,1017,1,35387
"217",2006,1017,1,35173
"218",2007,1017,1,34822
"219",2008,1017,1,34731
"220",2009,1017,1,34473
"221",2010,1017,1,34320
"222",2011,1017,1,34111
"223",2012,1017,1,34004
"224",2013,1017,1,34087
"225",2014,1017,1,34175
"226",1990,1019,1,19467
"227",1991,1019,1,19603
"228",1992,1019,1,19676
"229",1993,1019,1,19814
"230",1994,1019,1,20174
"231",1995,1019,1,20497
"232",1996,1019,1,20958
"233",1997,1019,1,21281
"234",1998,1019,1,21601
"235",1999,1019,1,21827
"236",2000,1019,1,21894
"237",2001,1019,1,24053
"238",2002,1019,1,24078
"239",2003,1019,1,24143
"240",2004,1019,1,24159
"241",2005,1019,1,24291
"242",2006,1019,1,24268
"243",2007,1019,1,24531
"244",2008,1019,1,24474
"245",2009,1019,1,24413
"246",2010,1019,1,24448
"247",2011,1019,1,25968
"248",2012,1019,1,26073
"249",2013,1019,1,26017
"250",2014,1019,1,26115
"251",1990,1021,1,32365
"252",1991,1021,1,32520
"253",1992,1021,1,33045
"254",1993,1021,1,33220
"255",1994,1021,1,33661
"256",1995,1021,1,34195
"257",1996,1021,1,34849
"258",1997,1021,1,35631
"259",1998,1021,1,36310
"260",1999,1021,1,36926
"261",2000,1021,1,37604
"262",2001,1021,1,39781
"263",2002,1021,1,40030
"264",2003,1021,1,40460
"265",2004,1021,1,40776
"266",2005,1021,1,41170
"267",2006,1021,1,41510
"268",2007,1021,1,41821
"269",2008,1021,1,42362
"270",2009,1021,1,42696
"271",2010,1021,1,42971
"272",2011,1021,1,43682
"273",2012,1021,1,43749
"274",2013,1021,1,43709
"275",2014,1021,1,43836
"276",1990,1023,1,16166
"277",1991,1023,1,15984
"278",1992,1023,1,15996
"279",1993,1023,1,16118
"280",1994,1023,1,16102
"281",1995,1023,1,16050
"282",1996,1023,1,15991
"283",1997,1023,1,15989
"284",1998,1023,1,15883
"285",1999,1023,1,15829
"286",2000,1023,1,15518
"287",2001,1023,1,15850
"288",2002,1023,1,15652
"289",2003,1023,1,15342
"290",2004,1023,1,15168
"291",2005,1023,1,14894
"292",2006,1023,1,14507
"293",2007,1023,1,14389
"294",2008,1023,1,14178
"295",2009,1023,1,14083
"296",2010,1023,1,13990
"297",2011,1023,1,13849
"298",2012,1023,1,13604
"299",2013,1023,1,13559
"300",2014,1023,1,13397
"301",1990,1025,1,27164
"302",1991,1025,1,27311
"303",1992,1025,1,27503
"304",1993,1025,1,27727
"305",1994,1025,1,27827
"306",1995,1025,1,28037
"307",1996,1025,1,27938
"308",1997,1025,1,28077
"309",1998,1025,1,28606
"310",1999,1025,1,28531
"311",2000,1025,1,28756
"312",2001,1025,1,27833
"313",2002,1025,1,27634
"314",2003,1025,1,27273
"315",2004,1025,1,27076
"316",2005,1025,1,26944
"317",2006,1025,1,26740
"318",2007,1025,1,26729
"319",2008,1025,1,26416
"320",2009,1025,1,26264
"321",2010,1025,1,26042
"322",2011,1025,1,25782
"323",2012,1025,1,25592
"324",2013,1025,1,25168
"325",2014,1025,1,25166
"326",1990,1027,1,13172
"327",1991,1027,1,13281
"328",1992,1027,1,13292
"329",1993,1027,1,13386
"330",1994,1027,1,13467
"331",1995,1027,1,13486
"332",1996,1027,1,13507
"333",1997,1027,1,13633
"334",1998,1027,1,13841
"335",1999,1027,1,13966
"336",2000,1027,1,14012
"337",2001,1027,1,14264
"338",2002,1027,1,14257
"339",2003,1027,1,14173
"340",2004,1027,1,14066
"341",2005,1027,1,13939
"342",2006,1027,1,13847
"343",2007,1027,1,13777
"344",2008,1027,1,13772
"345",2009,1027,1,13807
"346",2010,1027,1,13640
"347",2011,1027,1,13886
"348",2012,1027,1,13677
"349",2013,1027,1,13465
"350",2014,1027,1,13506
"351",1990,1029,1,12754
"352",1991,1029,1,12733
"353",1992,1029,1,12733
"354",1993,1029,1,12941
"355",1994,1029,1,13162
"356",1995,1029,1,13207
"357",1996,1029,1,13301
"358",1997,1029,1,13521
"359",1998,1029,1,14090
"360",1999,1029,1,14283
"361",2000,1029,1,14456
"362",2001,1029,1,14156
"363",2002,1029,1,14196
"364",2003,1029,1,14376
"365",2004,1029,1,14378
"366",2005,1029,1,14264
"367",2006,1029,1,14276
"368",2007,1029,1,14433
"369",2008,1029,1,14692
"370",2009,1029,1,14736
"371",2010,1029,1,14759
"372",2011,1029,1,14969
"373",2012,1029,1,14967
"374",2013,1029,1,14918
"375",2014,1029,1,15017
"376",1990,1031,1,40408
"377",1991,1031,1,40256
"378",1992,1031,1,40393
"379",1993,1031,1,41125
"380",1994,1031,1,41400
"381",1995,1031,1,41986
"382",1996,1031,1,42332
"383",1997,1031,1,42124
"384",1998,1031,1,42041
"385",1999,1031,1,42222
"386",2000,1031,1,42128
"387",2001,1031,1,43540
"388",2002,1031,1,43581
"389",2003,1031,1,43759
"390",2004,1031,1,44186
"391",2005,1031,1,44712
"392",2006,1031,1,45159
"393",2007,1031,1,45639
"394",2008,1031,1,46806
"395",2009,1031,1,47773
"396",2010,1031,1,48635
"397",2011,1031,1,50179
"398",2012,1031,1,50465
"399",2013,1031,1,51217
"400",2014,1031,1,50861
"401",1990,1033,1,51382
"402",1991,1033,1,51816
"403",1992,1033,1,52253
"404",1993,1033,1,52279
"405",1994,1033,1,52572
"406",1995,1033,1,52421
"407",1996,1033,1,52421
"408",1997,1033,1,52630
"409",1998,1033,1,53094
"410",1999,1033,1,52924
"411",2000,1033,1,52552
"412",2001,1033,1,55024
"413",2002,1033,1,54841
"414",2003,1033,1,54594
"415",2004,1033,1,54319
"416",2005,1033,1,54427
"417",2006,1033,1,54399
"418",2007,1033,1,54462
"419",2008,1033,1,54606
"420",2009,1033,1,54626
"421",2010,1033,1,54639
"422",2011,1033,1,54505
"423",2012,1033,1,54433
"424",2013,1033,1,54473
"425",2014,1033,1,54499
"426",1990,1035,1,14225
"427",1991,1035,1,14032
"428",1992,1035,1,14275
"429",1993,1035,1,14133
"430",1994,1035,1,14110
"431",1995,1035,1,14133
"432",1996,1035,1,14086
"433",1997,1035,1,14176
"434",1998,1035,1,14032
"435",1999,1035,1,13863
"436",2000,1035,1,13728
"437",2001,1035,1,14040
"438",2002,1035,1,13894
"439",2003,1035,1,13699
"440",2004,1035,1,13436
"441",2005,1035,1,13238
"442",2006,1035,1,13176
"443",2007,1035,1,13309
"444",2008,1035,1,13118
"445",2009,1035,1,13038
"446",2010,1035,1,12931
"447",2011,1035,1,13219
"448",2012,1035,1,13133
"449",2013,1035,1,13005
"450",2014,1035,1,12898
"451",1990,1037,1,11073
"452",1991,1037,1,11060
"453",1992,1037,1,11110
"454",1993,1037,1,11071
"455",1994,1037,1,11290
"456",1995,1037,1,11588
"457",1996,1037,1,11694
"458",1997,1037,1,11551
"459",1998,1037,1,11585
"460",1999,1037,1,11637
"461",2000,1037,1,11712
"462",2001,1037,1,11843
"463",2002,1037,1,11746
"464",2003,1037,1,11539
"465",2004,1037,1,11423
"466",2005,1037,1,11156
"467",2006,1037,1,10964
"468",2007,1037,1,10857
"469",2008,1037,1,10783
"470",2009,1037,1,10724
"471",2010,1037,1,10556
"472",2011,1037,1,11757
"473",2012,1037,1,11344
"474",2013,1037,1,11181
"475",2014,1037,1,11065
"476",1990,1039,1,36532
"477",1991,1039,1,36509
"478",1992,1039,1,36563
"479",1993,1039,1,36848
"480",1994,1039,1,37069
"481",1995,1039,1,36922
"482",1996,1039,1,37257
"483",1997,1039,1,37414
"484",1998,1039,1,37432
"485",1999,1039,1,37461
"486",2000,1039,1,37587
"487",2001,1039,1,37490
"488",2002,1039,1,36939
"489",2003,1039,1,36661
"490",2004,1039,1,36495
"491",2005,1039,1,36322
"492",2006,1039,1,36594
"493",2007,1039,1,36717
"494",2008,1039,1,36804
"495",2009,1039,1,36646
"496",2010,1039,1,36678
"497",2011,1039,1,37784
"498",2012,1039,1,38049
"499",2013,1039,1,37809
"500",2014,1039,1,37850
"501",1990,1041,1,13784
"502",1991,1041,1,13598
"503",1992,1041,1,13551
"504",1993,1041,1,13511
"505",1994,1041,1,13557
"506",1995,1041,1,13478
"507",1996,1041,1,13586
"508",1997,1041,1,13580
"509",1998,1041,1,13694
"510",1999,1041,1,13626
"511",2000,1041,1,13619
"512",2001,1041,1,13696
"513",2002,1041,1,13700
"514",2003,1041,1,13580
"515",2004,1041,1,13562
"516",2005,1041,1,13602
"517",2006,1041,1,13541
"518",2007,1041,1,13688
"519",2008,1041,1,13741
"520",2009,1041,1,13686
"521",2010,1041,1,13781
"522",2011,1041,1,13866
"523",2012,1041,1,13914
"524",2013,1041,1,13972
"525",2014,1041,1,13960
"526",1990,1043,1,67042
"527",1991,1043,1,67791
"528",1992,1043,1,68569
"529",1993,1043,1,69592
"530",1994,1043,1,70430
"531",1995,1043,1,71451
"532",1996,1043,1,72287
"533",1997,1043,1,73409
"534",1998,1043,1,74086
"535",1999,1043,1,74944
"536",2000,1043,1,75661
"537",2001,1043,1,77580
"538",2002,1043,1,77661
"539",2003,1043,1,77814
"540",2004,1043,1,78110
"541",2005,1043,1,78711
"542",2006,1043,1,79382
"543",2007,1043,1,79871
"544",2008,1043,1,80602
"545",2009,1043,1,81518
"546",2010,1043,1,81778
"547",2011,1043,1,80454
"548",2012,1043,1,80455
"549",2013,1043,1,80361
"550",2014,1043,1,80783
"551",1990,1045,1,49985
"552",1991,1045,1,49599
"553",1992,1045,1,49809
"554",1993,1045,1,49793
"555",1994,1045,1,49663
"556",1995,1045,1,50362
"557",1996,1045,1,50229
"558",1997,1045,1,49453
"559",1998,1045,1,49101
"560",1999,1045,1,48916
"561",2000,1045,1,49127
"562",2001,1045,1,49068
"563",2002,1045,1,49001
"564",2003,1045,1,49070
"565",2004,1045,1,49052
"566",2005,1045,1,48691
"567",2006,1045,1,48319
"568",2007,1045,1,48038
"569",2008,1045,1,48263
"570",2009,1045,1,48400
"571",2010,1045,1,48147
"572",2011,1045,1,50340
"573",2012,1045,1,50085
"574",2013,1045,1,50310
"575",2014,1045,1,49845
"576",1990,1047,1,48931
"577",1991,1047,1,48013
"578",1992,1047,1,47848
"579",1993,1047,1,47934
"580",1994,1047,1,47996
"581",1995,1047,1,47806
"582",1996,1047,1,47709
"583",1997,1047,1,47350
"584",1998,1047,1,47109
"585",1999,1047,1,46803
"586",2000,1047,1,46669
"587",2001,1047,1,46181
"588",2002,1047,1,45910
"589",2003,1047,1,44944
"590",2004,1047,1,44504
"591",2005,1047,1,43927
"592",2006,1047,1,43358
"593",2007,1047,1,43050
"594",2008,1047,1,42780
"595",2009,1047,1,42627
"596",2010,1047,1,41925
"597",2011,1047,1,43836
"598",2012,1047,1,43225
"599",2013,1047,1,42839
"600",2014,1047,1,42102
"601",1990,1049,1,54460
"602",1991,1049,1,54763
"603",1992,1049,1,55342
"604",1993,1049,1,55845
"605",1994,1049,1,56484
"606",1995,1049,1,57533
"607",1996,1049,1,57285
"608",1997,1049,1,57374
"609",1998,1049,1,57653
"610",1999,1049,1,58274
"611",2000,1049,1,58948
"612",2001,1049,1,64638
"613",2002,1049,1,65519
"614",2003,1049,1,65545
"615",2004,1049,1,66009
"616",2005,1049,1,66574
"617",2006,1049,1,66920
"618",2007,1049,1,67447
"619",2008,1049,1,68275
"620",2009,1049,1,68894
"621",2010,1049,1,69380
"622",2011,1049,1,71118
"623",2012,1049,1,71361
"624",2013,1049,1,70930
"625",2014,1049,1,70894
"626",1990,1051,1,48629
"627",1991,1051,1,49470
"628",1992,1051,1,50661
"629",1993,1051,1,52383
"630",1994,1051,1,54049
"631",1995,1051,1,55475
"632",1996,1051,1,57073
"633",1997,1051,1,58573
"634",1998,1051,1,60340
"635",1999,1051,1,61985
"636",2000,1051,1,63488
"637",2001,1051,1,66230
"638",2002,1051,1,67566
"639",2003,1051,1,68822
"640",2004,1051,1,70151
"641",2005,1051,1,71276
"642",2006,1051,1,73241
"643",2007,1051,1,75511
"644",2008,1051,1,77459
"645",2009,1051,1,78125
"646",2010,1051,1,79233
"647",2011,1051,1,79444
"648",2012,1051,1,79983
"649",2013,1051,1,80392
"650",2014,1051,1,80808
"651",1990,1053,1,35733
"652",1991,1053,1,35485
"653",1992,1053,1,35576
"654",1993,1053,1,35937
"655",1994,1053,1,36126
"656",1995,1053,1,36280
"657",1996,1053,1,36231
"658",1997,1053,1,36388
"659",1998,1053,1,36622
"660",1999,1053,1,36732
"661",2000,1053,1,36671
"662",2001,1053,1,38402
"663",2002,1053,1,38430
"664",2003,1053,1,38319
"665",2004,1053,1,38028
"666",2005,1053,1,37888
"667",2006,1053,1,37642
"668",2007,1053,1,37572
"669",2008,1053,1,37623
"670",2009,1053,1,37532
"671",2010,1053,1,37434
"672",2011,1053,1,38312
"673",2012,1053,1,38222
"674",2013,1053,1,38048
"675",2014,1053,1,37893
"676",1990,1055,1,100327
"677",1991,1055,1,99799
"678",1992,1055,1,100295
"679",1993,1055,1,100832
"680",1994,1055,1,101150
"681",1995,1055,1,102019
"682",1996,1055,1,102082
"683",1997,1055,1,102757
"684",1998,1055,1,103758
"685",1999,1055,1,103923
"686",2000,1055,1,103472
"687",2001,1055,1,103313
"688",2002,1055,1,102914
"689",2003,1055,1,102815
"690",2004,1055,1,102698
"691",2005,1055,1,102657
"692",2006,1055,1,102602
"693",2007,1055,1,102854
"694",2008,1055,1,103216
"695",2009,1055,1,103435
"696",2010,1055,1,103645
"697",2011,1055,1,104501
"698",2012,1055,1,104310
"699",2013,1055,1,104324
"700",2014,1055,1,103962
"701",1990,1057,1,17978
"702",1991,1057,1,17996
"703",1992,1057,1,18111
"704",1993,1057,1,18092
"705",1994,1057,1,18025
"706",1995,1057,1,18039
"707",1996,1057,1,18006
"708",1997,1057,1,18061
"709",1998,1057,1,18110
"710",1999,1057,1,18096
"711",2000,1057,1,18103
"712",2001,1057,1,18456
"713",2002,1057,1,18341
"714",2003,1057,1,18244
"715",2004,1057,1,18145
"716",2005,1057,1,17998
"717",2006,1057,1,18012
"718",2007,1057,1,17758
"719",2008,1057,1,17538
"720",2009,1057,1,17577
"721",2010,1057,1,17371
"722",2011,1057,1,17247
"723",2012,1057,1,17082
"724",2013,1057,1,16982
"725",2014,1057,1,16909
"726",1990,1059,1,28004
"727",1991,1059,1,27769
"728",1992,1059,1,27953
"729",1993,1059,1,28364
"730",1994,1059,1,28661
"731",1995,1059,1,28923
"732",1996,1059,1,29192
"733",1997,1059,1,29402
"734",1998,1059,1,29606
"735",1999,1059,1,29684
"736",2000,1059,1,29716
"737",2001,1059,1,31208
"738",2002,1059,1,31112
"739",2003,1059,1,30766
"740",2004,1059,1,30684
"741",2005,1059,1,30533
"742",2006,1059,1,30673
"743",2007,1059,1,30791
"744",2008,1059,1,30627
"745",2009,1059,1,31051
"746",2010,1059,1,31091
"747",2011,1059,1,31755
"748",2012,1059,1,31757
"749",2013,1059,1,31660
"750",2014,1059,1,31542
"751",1990,1061,1,23432
"752",1991,1061,1,23719
"753",1992,1061,1,24108
"754",1993,1061,1,24071
"755",1994,1061,1,24291
"756",1995,1061,1,24500
"757",1996,1061,1,24655
"758",1997,1061,1,24753
"759",1998,1061,1,24845
"760",1999,1061,1,24875
"761",2000,1061,1,24968
"762",2001,1061,1,25790
"763",2002,1061,1,25528
"764",2003,1061,1,25458
"765",2004,1061,1,25481
"766",2005,1061,1,25458
"767",2006,1061,1,25584
"768",2007,1061,1,25769
"769",2008,1061,1,25717
"770",2009,1061,1,25971
"771",2010,1061,1,25961
"772",2011,1061,1,26793
"773",2012,1061,1,26829
"774",2013,1061,1,27002
"775",2014,1061,1,26742
"776",1990,1063,1,10208
"777",1991,1063,1,10164
"778",1992,1063,1,10222
"779",1993,1063,1,10206
"780",1994,1063,1,10125
"781",1995,1063,1,10018
"782",1996,1063,1,9938
"783",1997,1063,1,9971
"784",1998,1063,1,9931
"785",1999,1063,1,9843
"786",2000,1063,1,9756
"787",2001,1063,1,9946
"788",2002,1063,1,9864
"789",2003,1063,1,9840
"790",2004,1063,1,9697
"791",2005,1063,1,9534
"792",2006,1063,1,9472
"793",2007,1063,1,9119
"794",2008,1063,1,9100
"795",2009,1063,1,9039
"796",2010,1063,1,8829
"797",2011,1063,1,8992
"798",2012,1063,1,8902
"799",2013,1063,1,8827
"800",2014,1063,1,8718
"801",1990,1065,1,15390
"802",1991,1065,1,15529
"803",1992,1065,1,15719
"804",1993,1065,1,15912
"805",1994,1065,1,15978
"806",1995,1065,1,16064
"807",1996,1065,1,16202
"808",1997,1065,1,16358
"809",1998,1065,1,16442
"810",1999,1065,1,16750
"811",2000,1065,1,16870
"812",2001,1065,1,18288
"813",2002,1065,1,18271
"814",2003,1065,1,18047
"815",2004,1065,1,18013
"816",2005,1065,1,17876
"817",2006,1065,1,17921
"818",2007,1065,1,17901
"819",2008,1065,1,18091
"820",2009,1065,1,18083
"821",2010,1065,1,17975
"822",2011,1065,1,15727
"823",2012,1065,1,15355
"824",2013,1065,1,15390
"825",2014,1065,1,15311
"826",1990,1067,1,15317
"827",1991,1067,1,15417
"828",1992,1067,1,15640
"829",1993,1067,1,15583
"830",1994,1067,1,15676
"831",1995,1067,1,15743
"832",1996,1067,1,15685
"833",1997,1067,1,15570
"834",1998,1067,1,15699
"835",1999,1067,1,15798
"836",2000,1067,1,15787
"837",2001,1067,1,16344
"838",2002,1067,1,16301
"839",2003,1067,1,16326
"840",2004,1067,1,16370
"841",2005,1067,1,16432
"842",2006,1067,1,16424
"843",2007,1067,1,16555
"844",2008,1067,1,16653
"845",2009,1067,1,16623
"846",2010,1067,1,16647
"847",2011,1067,1,17287
"848",2012,1067,1,17403
"849",2013,1067,1,17248
"850",2014,1067,1,17224
"851",1990,1069,1,80706
"852",1991,1069,1,81611
"853",1992,1069,1,82358
"854",1993,1069,1,83254
"855",1994,1069,1,83957
"856",1995,1069,1,83427
"857",1996,1069,1,83835
"858",1997,1069,1,84699
"859",1998,1069,1,85133
"860",1999,1069,1,85613
"861",2000,1069,1,86116
"862",2001,1069,1,88919
"863",2002,1069,1,89437
"864",2003,1069,1,89849
"865",2004,1069,1,91147
"866",2005,1069,1,92374
"867",2006,1069,1,93614
"868",2007,1069,1,95511
"869",2008,1069,1,97392
"870",2009,1069,1,98852
"871",2010,1069,1,100085
"872",2011,1069,1,101787
"873",2012,1069,1,102423
"874",2013,1069,1,103368
"875",2014,1069,1,103626
"876",1990,1071,1,47793
"877",1991,1071,1,47902
"878",1992,1071,1,48366
"879",1993,1071,1,48823
"880",1994,1071,1,49290
"881",1995,1071,1,49422
"882",1996,1071,1,49936
"883",1997,1071,1,50654
"884",1998,1071,1,50704
"885",1999,1071,1,51339
"886",2000,1071,1,51535
"887",2001,1071,1,54029
"888",2002,1071,1,53972
"889",2003,1071,1,53648
"890",2004,1071,1,53483
"891",2005,1071,1,53217
"892",2006,1071,1,52923
"893",2007,1071,1,52998
"894",2008,1071,1,52796
"895",2009,1071,1,52934
"896",2010,1071,1,52838
"897",2011,1071,1,53159
"898",2012,1071,1,53244
"899",2013,1071,1,53048
"900",2014,1071,1,52944
"901",1990,1073,1,653400
"902",1991,1073,1,652109
"903",1992,1073,1,656128
"904",1993,1073,1,659355
"905",1994,1073,1,661267
"906",1995,1073,1,662990
"907",1996,1073,1,663092
"908",1997,1073,1,662376
"909",1998,1073,1,660202
"910",1999,1073,1,660039
"911",2000,1073,1,657422
"912",2001,1073,1,662214
"913",2002,1073,1,661494
"914",2003,1073,1,659766
"915",2004,1073,1,660486
"916",2005,1073,1,660016
"917",2006,1073,1,659715
"918",2007,1073,1,661447
"919",2008,1073,1,661477
"920",2009,1073,1,663394
"921",2010,1073,1,665027
"922",2011,1073,1,658302
"923",2012,1073,1,657927
"924",2013,1073,1,657953
"925",2014,1073,1,659197
"926",1990,1075,1,15843
"927",1991,1075,1,15706
"928",1992,1075,1,15736
"929",1993,1075,1,15687
"930",1994,1075,1,15862
"931",1995,1075,1,15871
"932",1996,1075,1,15874
"933",1997,1075,1,15888
"934",1998,1075,1,15957
"935",1999,1075,1,16012
"936",2000,1075,1,16034
"937",2001,1075,1,15905
"938",2002,1075,1,15561
"939",2003,1075,1,15317
"940",2004,1075,1,15065
"941",2005,1075,1,14828
"942",2006,1075,1,14707
"943",2007,1075,1,14456
"944",2008,1075,1,14484
"945",2009,1075,1,14341
"946",2010,1075,1,14200
"947",2011,1075,1,14499
"948",2012,1075,1,14295
"949",2013,1075,1,14255
"950",2014,1075,1,14203
"951",1990,1077,1,79380
"952",1991,1077,1,79881
"953",1992,1077,1,80755
"954",1993,1077,1,81580
"955",1994,1077,1,82484
"956",1995,1077,1,82871
"957",1996,1077,1,83438
"958",1997,1077,1,83973
"959",1998,1077,1,83909
"960",1999,1077,1,84206
"961",2000,1077,1,84327
"962",2001,1077,1,87982
"963",2002,1077,1,87393
"964",2003,1077,1,86872
"965",2004,1077,1,86944
"966",2005,1077,1,87203
"967",2006,1077,1,87437
"968",2007,1077,1,87992
"969",2008,1077,1,88522
"970",2009,1077,1,89200
"971",2010,1077,1,89599
"972",2011,1077,1,92726
"973",2012,1077,1,92609
"974",2013,1077,1,92694
"975",2014,1077,1,92774
"976",1990,1079,1,31391
"977",1991,1079,1,31586
"978",1992,1079,1,32083
"979",1993,1079,1,32160
"980",1994,1079,1,32457
"981",1995,1079,1,32368
"982",1996,1079,1,32764
"983",1997,1079,1,33079
"984",1998,1079,1,33278
"985",1999,1079,1,33447
"986",2000,1079,1,33795
"987",2001,1079,1,34856
"988",2002,1079,1,34836
"989",2003,1079,1,34643
"990",2004,1079,1,34393
"991",2005,1079,1,34204
"992",2006,1079,1,34293
"993",2007,1079,1,33875
"994",2008,1079,1,34151
"995",2009,1079,1,34047
"996",2010,1079,1,34106
"997",2011,1079,1,34306
"998",2012,1079,1,34044
